Brand,Model,Website,Price,Fuel Consumption (City),Fuel Consumption (Highway),Segment
Toyota,Tacoma,https://www.toyota.com,32000,18,22,Pickup
Honda,Odyssey,https://www.honda.com,35000,19,28,Minivan
Honda,Passport,https://www.honda.com,33000,20,25,Midsize SUV
Ford,Bronco,https://www.ford.com,40000,17,24,Off-Road SUV
Ford,Maverick,https://www.ford.com,20000,23,30,Compact Pickup
Ford,Edge,https://www.ford.com,32000,21,29,Midsize SUV
Ford,Ranger,https://www.ford.com,25000,19,24,Compact Pickup
Ford,Escape Hybrid,https://www.ford.com,28000,40,37,Compact SUV
Ford,Expedition,https://www.ford.com,50000,17,23,Fullsize SUV
Ford,EcoSport,https://www.ford.com,21000,27,29,Subcompact SUV
Ford,Taurus,https://www.ford.com,27000,20,30,Fullsize
Ford,Transit,https://www.ford.com,35000,15,19,Van
Ford,Mustang Mach-E,https://www.ford.com,45000,96,84,Electric SUV
Toyota,Sequoia,https://www.toyota.com,50000,13,17,Fullsize SUV
Toyota,Sienna,https://www.toyota.com,35000,19,26,Minivan
Honda,Ridgeline,https://www.honda.com,35000,18,24,Pickup
Honda,HR-V,https://www.honda.com,25000,28,34,Subcompact SUV
Chevrolet,Blazer,https://www.chevrolet.com,34000,22,29,Midsize SUV
Chevrolet,Trailblazer,https://www.chevrolet.com,22000,29,33,Subcompact SUV
Audi,A3,https://www.audi.com,35000,27,36,Compact
Audi,Q3,https://www.audi.com,40000,22,30,Subcompact SUV
Mercedes,A-Class,https://www.mercedes.com,35000,24,35,Subcompact
Mercedes,GLC,https://www.mercedes.com,45000,22,28,Compact SUV
Citroen,C1,https://www.citroen.com,15000,35,45,Mini
Citroen,Berlingo,https://www.citroen.com,26000,27,32,Van
Land Rover,Range Rover Sport,https://www.landrover.com,80000,16,21,Luxury SUV
Jeep,Renegade,https://www.jeep.com,24000,24,32,Subcompact SUV
Seat,Mii,https://www.seat.com,16000,32,44,Mini
Skoda,Superb,https://www.skoda.com.tr,32000,26,38,Midsize
